test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_040,prompt_0_filtrado,llama3-8b-8192,2025-04-24T10:26:18.740379+00:00,1.389,5588,427,6015,True,True,True,
test_040,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T10:26:20.787562+00:00,1.745,5061,949,6010,True,True,True,
test_040,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T10:26:22.474788+00:00,1.385,6059,377,6436,True,True,True,
test_040,prompt_3_relaciones,llama3-8b-8192,2025-04-24T10:26:24.569937+00:00,1.793,6610,825,7435,True,True,True,
test_040,prompt_4_json_final,llama3-8b-8192,2025-04-24T10:26:26.693001+00:00,1.821,,,,False,False,False,"API_Error: BadRequestError: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n   ""articulo_metadata"": {\n      ""url"": """",\n      ""medio"": ""Noticias de El Salvador - Noticias de El Salvador, noticias internacionales, salvadoreños por el mundo, economia, negocios, politica, deportes, entretenimiento, tecnologia, turismo, tendencias, fotos, videos, redes sociales"",\n      ""pais_publicacion"": ""None"",\n      ""tipo_medio"": ""Noticias de El Salvador"",\n      ""titular"": ""Human Rights Watch: Trump y Bukele quieren crear en El Salvador un Guantánamo centroamericano peor"",\n      ""fecha_publicacion"": ""2025-04-21"",\n      ""autor"": """",\n      ""idioma"": ""es"",\n      ""seccion"": """",\n      ""etiquetas_fuente"": [""Human Rights Watch"", ""Trump"", ""Bukele"", ""Guantánamo"", ""El Salvador""],\n      ""es_opinion"": false,\n      ""es_oficial"": false\n   },\n   ""hechos"": [\n      {\n         ""id"": 1,\n         ""contenido"": ""Juan Pappier, subdirector de la División de las Américas de la organización humanitaria Human Rights Watch, no duda en llamar a la comunidad centroamericana a rechazar la imposición de nuevos Guantánamos en la región"",\n         ""fecha_ocurrencia"": {""inicio"": ""2025-04-21"", ""fin"": ""2025-04-21""},\n         ""precision_temporal"": ""dia"",\n         ""confiabilidad"": 4,\n         ""importancia"": 8,\n         ""tipo_hecho"": ""DECLARACION"",\n         ""pais"": [""El Salvador""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""etiquetas"": [""Human Rights Watch"", ""Trump"", ""Bukele"", ""Guantánamo"", ""El Salvador""],\n         ""es_evento_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 2,\n         ""contenido"": ""El Salvador ha ratificado el Estatuto de Roma"",\n         ""fecha_ocurrencia"": {""inicio"": null, ""fin"": null}'}}"
test_047,prompt_0_filtrado,llama3-8b-8192,2025-04-24T10:26:27.952624+00:00,0.753,1856,341,2197,True,True,True,
test_047,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T10:26:29.849644+00:00,1.593,1329,517,1846,True,True,True,
test_047,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T10:26:31.039198+00:00,0.888,1891,236,2127,True,True,True,
test_047,prompt_3_relaciones,llama3-8b-8192,2025-04-24T10:26:32.215686+00:00,0.875,2352,414,2766,True,True,True,
test_047,prompt_4_json_final,llama3-8b-8192,2025-04-24T10:26:34.508394+00:00,1.991,2933,1609,4542,True,True,True,
test_004,prompt_0_filtrado,llama3-8b-8192,2025-04-24T10:26:36.244588+00:00,0.93,2555,425,2980,True,True,True,
test_004,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T10:26:37.987264+00:00,1.439,2028,1127,3155,True,True,True,
test_004,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T10:26:39.297208+00:00,1.008,3204,411,3615,True,True,True,
test_004,prompt_3_relaciones,llama3-8b-8192,2025-04-24T10:26:42.421118+00:00,2.806,3843,739,4582,True,True,True,
test_004,prompt_4_json_final,llama3-8b-8192,2025-04-24T10:26:46.481322+00:00,3.575,4746,2387,7133,True,True,True,
